sentence1,sentence2
She came to me in tears asking for help finding it.,I found it hanging from her swing-set outside.
"During the lesson, I accidentally hit my husband with the mirror.","Now he says I'm grounded, too."
Betty's husband gets very upset with her.,Betty tries to turn the tv on but it will not turn on.
I knew I would not see my closest friend there for a long time.,I was very depressed about not having him around.
Doug had just bought a new truck.,He decided to go muddin in it.
"They got hungry, so Kadriana's mom made lunch.","After the play date, Kadriana's mom took her friend home."
The mechanic loves to charge my dad a lot to fix it.,My dad had it towed to the junkyard for cash while I was at school!
Today me and my wife were supposed to go to Italy for five days.,Except we were turned away at the airport before we could leave.
Kate and her friends were on a Vegas vacation.,But they wanted to find a better hotel.
I looked online for a way to get rid of them.,"The proper removal method is with a fruity, vinegary trap."
My husband's hair was getting really long.,I suggested to him that he cut it.
"For the next week, she practiced diligently.","Soon after, she found her memory had improved tremendously."
Dick had a world map poster hung on his bedroom wall.,The poster was covered with pins and labels.
Tony's girlfriend was obviously annoyed.,Tony showed up and told the guy to get away.
I always admired her flowing bright red hair.,One day I bought a bleach kit to use on my black hair.
He tried his best to squeeze the water from the shirt.,It remained damp but at least it was wearable.
Her husband came home from work.,She then remembered what day it was.
Gwen's mom looked everywhere for her.,She found Gwen playing with toys in her closet.
It spent less water and provided more.,Unfortunately it was against the homeowner's association.
He was able to get a lot of animals and impress many hunters.,Now he is able to hunt as a job.
Randy always purchased his music digitally.,He did not understand why someone would buy music physically.
The school therapist told the girl's mom.,The girl has to go to an outpatient mental health clinic every day.
I shot my gun while he messed around with his.,I shot over 200 rounds at the targets.
I picked a pair of mugs with Mr and Mrs on them to commemorate it.,She called me and said they loved the mugs.
"When I looked at my dog, he was also under the bed.","He looked very guilty, leading me to believe he caused the damage."
The daughter got mad.,Dad told them to keep it down.
"But in the end, it was worth the long ride.",I stayed in the beautiful park for hours.
She bent down to retrieve them but hit her head on the man's head.,"When she looked up, she felt her heartbeat and smiled to him."
He looked at the map and mad a route up.,Jeremiah set out.
While flushing something broke.,Dan panicked and tried to fix it.
Every fall he grew tired of raking all of the fallen leaves.,One fall Todd bought a leaf blower to get rid of the leaves.
Angela was crying.,She was being held hostage by a stranger.
Nancy jabbed the sewing needle through Carol's numb ear.,Carol fainted from the pain.
"In a feud between two neighbors, Frank and Earl refused to back down.",Earl set fire to Frank's car in an aggressive move.
Sally really enjoyed to go shopping on her days off.,She was not as wealthy as she wanted to be so she had to be frugal.
The story improved.,The boy told a good story.
"He didn't always, but he hated to say so.",He had gotten the floss stuck once.
She showed a broken watch to him.,"Since he paid $300 dollars for it, he pushed her."
I found the item and the receipt for purchase.,Then I drove to the store with both items.
She found some pretty scenes online to replicate.,Soon her son's nursery had a beautiful landscape in it.
And they left very early.,Kate wanted to go back to sleep while someone else drove.
She didn't know any kids in her class.,For lunch a group of girls asked if she wanted to sit with them.
Luckily her friends noticed that she looked upset.,After they inquired she admitted her fears and they decided not to go.
A rock hit the glasses.,The glasses broke.
Her mom took her to the pool.,"There, she patiently taught Ava the basics."
She was humiliated assuming that he had stood her up.,Luckily the next day he apologized and explained an emergency.
So it was only natural that she learn to make daisy chains!,"At age 5, her mom sat her down and showed her how to link the stems."
He wrapped it up and put a bow on it.,The kid waited impatiently for his dad to get home from work.
"He decided to create his own movie experience, including popcorn.",He heated oil on the stove before adding the kernels.
